id,naslov,dolzina,leto,leto_original,score,glasovi,avgrating,ratings,reviews
11,The Hitchhiker's Guide to the Galaxy,193,2007,1979,424228,2622,4.22,1275619,26678
155,Anna Karenina,964,2012,1877,120336,1332,4.04,603810,21580
297,Treasure Island,311,2001,1882,73628,996,3.83,365648,10164
536,The Lovely Bones,372,2006,2002,501537,5413,3.8,1869185,39109
929,Memoirs of a Geisha,434,2005,1997,842308,8781,4.1,1599484,28219
1432,Hamlet,289,2005,1603,20711,264,4.02,666646,11331
2619,Great Expectations,505,1998,1861,144014,1652,3.77,599846,14671
2623,Great Expectations,512,2002,1861,217926,2529,3.77,599861,14671
2896,Perfume: The Story of a Murderer,263,1987,1985,109934,1257,4.02,284054,12797
3437,The Curious Incident of the Dog in the Night-Time,226,2004,2003,132801,1527,3.87,1088895,41456
3766,On the Road,307,1976,1957,138545,1569,3.63,318792,13878
3835,Don Quixote,1023,2003,1605,242742,2768,3.87,187882,7070
4262,High Fidelity,340,2005,1995,23036,284,3.94,164499,5355
4381,Fahrenheit 451,227,2013,1953,246878,2659,3.98,1475732,42281
4472,A Prayer for Owen Meany,637,1990,1989,202951,2232,4.23,274076,12990
4486,Bridget Jones's Diary,288,1999,1996,35149,483,3.77,843103,9172
4584,Everything Is Illuminated,276,2003,2002,20454,250,3.9,158339,7576
4610,Catch-22,453,2004,1961,396130,4322,3.98,676394,16724
4937,The Brothers Karamazov,796,2002,1879,288429,3191,4.32,218192,9606
4944,The Very Hungry Caterpillar,26,1994,1969,133869,1562,4.29,358232,7250
5213,White Oleander,446,2001,1999,47214,588,3.96,306533,6937
5507,The Diary of a Young Girl,283,1993,1947,39581,518,4.13,2473878,25894
6655,The Divine Comedy,798,1995,1320,110397,1309,4.07,103924,3399
6794,Cloud Atlas,509,2004,2004,26174,315,4.02,199589,18526
7131,The Count of Monte Cristo,1276,2003,1844,111212,1281,4.24,693868,19171
7138,Crime and Punishment,671,2002,1866,723159,7565,4.21,555200,16343
7178,The Catcher in the Rye,277,2001,1951,567813,6160,3.8,2488974,52537
7220,The Secret Life of Bees,302,2003,2001,177019,2023,4.04,1052831,28925
7677,Jurassic Park,399,1991,1990,61379,772,4.01,747594,10973
7747,Fear and Loathing in Las Vegas,204,1998,1972,50555,610,4.08,279173,5867
8219,The Little House Collection,2700,2003,1943,112228,1327,4.34,136843,2112
9030,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",447,2003,2003,21345,278,3.99,460371,30431
9889,Breakfast at Tiffany's,142,1993,1958,26523,374,3.89,197371,9512
9961,Atonement,351,2003,2001,94669,1135,3.89,410930,16331
10074,His Dark Materials,1088,2003,2000,64925,757,4.25,131984,4852
10365,Where the Red Fern Grows,212,1996,1961,90006,1044,4.07,316189,10354
10545,Ulysses,783,1990,1922,74359,886,3.73,102180,6131
11129,The Chronicles of Narnia,767,2002,1956,1193015,12480,4.26,466488,9702
11149,The Screwtape Letters,223,2013,1942,56212,693,4.22,299517,10514
11220,One Flew Over the Cuckoo's Nest,325,1963,1962,340466,3858,4.19,585753,9804
11569,Different Seasons,560,1995,1982,40951,554,4.35,160779,4011
12147,Watership Down,478,1975,1972,363550,3975,4.05,400253,12579
12854,The Idiot,667,2003,1869,45662,584,4.18,114997,4408
12873,Rebecca,449,2013,1938,317578,3567,4.22,402080,20243
12941,King Lear,316,2004,1606,44816,615,3.9,166559,3991
14050,The Time Traveler's Wife,500,2013,2003,655074,6847,3.96,1470095,45947
14354,The Power of One,544,1996,1989,34827,399,4.35,72246,4992
15688,The Stranger,123,1989,1942,148780,1707,3.97,616038,19905
16005,Paradise Lost,453,2003,1667,42131,571,3.81,120744,3305
17152,My Ántonia,232,2000,1918,28114,383,3.78,113686,6869
17238,Dracula,488,1986,1897,619192,6696,3.99,841103,22252
18132,The Voyage of the Dawn Treader,248,2006,1952,20369,293,4.09,368962,5933
18133,Lolita,331,1995,1955,447623,4821,3.89,607496,22190
18342,It,1116,1987,1986,108478,1263,4.23,700824,22040
18509,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,1728,2012,1955,1091330,11416,4.59,103621,1694
18517,To the Lighthouse,209,1989,1927,19507,265,3.77,117083,6420
19075,Madame Bovary,329,2004,1856,76695,964,3.66,225532,9437
19179,Beowulf,213,2001,975,30756,442,3.43,212724,5927
19374,The Adventures of Huckleberry Finn,327,2002,1884,506204,5572,3.81,1090650,14389
19542,Where the Wild Things Are,37,2000,1963,493926,5380,4.22,747121,11084
23539,Watchmen,416,2005,1987,112151,1270,4.36,458103,12403
24284,Les Misérables,1463,1987,1862,784534,8250,4.16,624995,14643
24682,"Oh, the Places You'll Go!",44,1990,,76893,977,4.35,298393,4848
26132,The Iliad/The Odyssey,1556,1999,-800,57334,758,4.03,58865,707
30136,The Giving Tree,64,1964,1964,993430,10306,4.37,835884,16528
32085,All Creatures Great and Small,448,2014,1972,42907,571,4.32,107334,3483
32814,The Canterbury Tales,504,2003,1390,72674,966,3.49,175994,3085
37819,The God of Small Things,340,1997,,55899,659,3.93,220176,12143
38044,Shōgun,1152,2009,1975,66633,816,4.38,136082,3865
40698,Of Mice and Men,103,2002,1937,645972,6977,3.86,1771233,30936
42647,Cold Mountain,356,2006,1997,32085,434,3.85,209843,5436
44187,The Sea of Monsters,279,2006,,78480,944,4.24,661512,23894
46132,Mrs. Dalloway,194,2002,1925,34062,451,3.79,200649,8514
46167,A Farewell to Arms,293,2004,1929,71230,912,3.8,244060,8756
46168,The Sun Also Rises,189,1957,1926,62010,788,3.82,344056,11737
46181,The Virgin Suicides,250,2002,1993,22108,289,3.84,214433,8816
49563,The Trial,255,2001,1925,59079,730,3.98,204009,6431
50165,Jane Eyre,532,2003,1847,781163,8267,4.12,1481109,37554
52277,The Awakening,195,2006,1899,38701,494,3.64,160791,6889
57854,Tao Te Ching,160,1989,-600,27779,355,4.31,100696,4266
59186,The Metamorphosis,201,1972,1915,132375,1559,3.8,547834,14616
70720,The Little Prince,93,2000,1943,618741,6640,4.3,1153554,33767
70897,The Secret History,559,2004,1992,41552,484,4.09,257901,18592
70947,The Golden Compass,399,1996,1995,242615,2722,3.97,1172781,19001
70949,The Amber Spyglass,467,2003,2000,26481,341,4.09,261261,8477
72029,The Neverending Story,396,1997,1979,73512,896,4.18,147389,5701
73716,Like Water for Chocolate,224,1993,1989,27034,384,3.95,311369,8285
75303,Qurʾan / القرآن الكريم,604,650,600,31495,356,4.34,53697,2889
75786,Infinite Jest,1088,2005,1996,23821,260,4.29,68196,8169
76817,A Little Princess,242,2002,1890,64556,821,4.2,255914,6342
76847,Girl with a Pearl Earring,233,2005,2000,56878,740,3.87,580432,9094
77233,Dubliners,207,2001,1914,20761,295,3.85,113273,5187
77247,Schindler's List,429,1994,1982,65386,862,4.35,130421,2036
77470,The Shipping News,337,2002,1993,23513,325,3.86,124274,4691
77531,Franny and Zooey,201,2001,1961,35041,447,3.98,176916,6000
84962,Death of a Salesman,117,1994,1949,24900,388,3.51,168045,4363
84979,Pride and Prejudice,279,2000,1813,1861868,19217,4.25,2661615,58740
85266,The Da Vinci Code,489,2006,2003,850211,8959,3.83,1757322,44910
85424,The Green Mile,592,1996,1996,49374,638,4.44,228389,6597
92141,Wicked: The Life and Times of the Wicked Witch of the West,406,2000,1995,68489,828,3.53,553941,23954
106192,The House of the Spirits,448,2005,1982,47790,604,4.22,168241,7072
109059,Matilda,240,1998,1988,315203,3522,4.31,543512,14492
111620,Brideshead Revisited,351,1982,1945,17504,238,4.0,88099,4212
117837,Heart of Darkness,188,2003,1899,85274,1054,3.42,375556,12511
120451,Candide,129,1991,1759,41946,555,3.76,203412,6944
120482,A Room with a View,119,2005,1908,18829,282,3.91,142154,5011
132314,The Complete Stories and Poems,821,1984,1849,207242,2408,4.38,199637,2118
168646,Slaughterhouse-Five,275,1999,1969,431459,4674,4.07,1041616,24478
168661,The Prince,140,2003,1513,23559,334,3.81,230459,7287
169205,Midnight Sun,264,2008,,48615,570,4.02,142729,9332
170436,Their Eyes Were Watching God,219,2006,1937,94378,1090,3.9,236824,11797
170448,Animal Farm,122,2003,1945,1201266,12484,3.92,2429641,48200
170453,Life of Pi,460,2006,2001,477749,5167,3.9,1223531,45748
170668,The Witches,208,1997,1983,31517,424,4.17,279223,6633
175343,The Five People You Meet in Heaven,196,2003,2003,123141,1420,3.93,538302,19201
176108,The Outsiders,192,1997,1967,484261,5247,4.09,835142,30313
191128,The Lorax,72,1998,1971,90486,1103,4.34,256713,3763
198167,Roots: The Saga of an American Family,729,1977,1976,49267,648,4.43,137400,3115
206657,The Secret Garden,331,1998,1910,561704,6185,4.13,812196,16353
226722,The Clan of the Cave Bear,512,2002,1980,74190,911,4.04,213134,6063
227589,Divine Secrets of the Ya-Ya Sisterhood,383,2004,1997,20676,307,3.81,503923,4192
231584,The English Patient,320,2006,1992,28328,385,3.88,105801,4271
231813,The Pearl,96,2002,1947,20196,312,3.46,174283,7725
232187,Charlie and the Chocolate Factory,176,2005,1964,139611,1669,4.13,588996,10694
232188,James and the Giant Peach,146,2002,1961,42899,603,4.01,340176,6281
232381,Goodnight Moon,32,2007,1947,92480,1147,4.27,276473,5448
233681,Misery,370,1988,1987,46515,612,4.15,441036,9655
233858,The Reader,216,1997,1995,22598,320,3.75,160327,9646
234225,Dune,528,2005,1965,111888,1214,4.22,642273,17659
240007,A Light in the Attic,176,2002,1981,56057,745,4.34,349368,2786
265016,Othello,314,2004,1603,46620,669,3.89,289946,5671
271276,Middlemarch,904,2004,1871,34866,437,3.96,126523,6789
274186,The Remains of the Day,258,2005,1989,23072,324,4.12,176732,12253
275984,Jonathan Livingston Seagull,112,2006,1970,79158,968,3.83,182919,6985
284066,The Wind-Up Bird Chronicle,607,1997,1994,52823,592,4.17,196053,12801
290131,Peter Pan,176,2003,1904,109506,1358,4.08,240880,9590
292110,Inkheart,563,2005,2003,44030,558,3.88,338276,11405
298247,The Crucible,143,2003,1953,57703,769,3.57,296766,6813
304306,A Great and Terrible Beauty,403,2003,,17547,217,3.79,197557,9589
304996,"Are You There God? It's Me, Margaret",149,2001,1970,40166,538,3.9,177191,6083
306150,Inferno,490,2003,1307,26607,363,4.0,128723,4383
311502,Eragon,503,2005,2002,140344,1604,3.89,1319591,20776
317500,"The Lion, the Witch and the Wardrobe",206,2005,1950,110577,1379,4.21,1944125,19196
331692,The Complete Maus,296,2003,1986,28931,370,4.55,115932,6751
345627,Vampire Academy,332,2013,2007,268590,2883,4.13,513559,21303
348428,The World According to Garp,610,1999,1978,71586,888,4.08,195522,5116
359079,Pippi Longstocking,160,2005,1945,22161,323,4.12,152194,3397
370523,One Hundred Years of Solitude,417,2003,1967,594074,6258,4.06,679487,26938
376609,Angela's Ashes,452,2005,1996,284718,3174,4.1,498040,11185
376612,Marley and Me: Life and Love With the World's Worst Dog,291,2005,,54340,681,4.13,423361,13873
386162,The Hitchhiker's Guide to the Galaxy,216,2005,1979,606690,8037,4.22,1275619,26678
386299,The Old Man and the Sea,132,1996,1952,224050,2600,3.76,733323,21949
386376,The Vampire Lestat,481,2004,1985,45779,587,4.07,165691,3469
386411,Cat's Cradle,306,1999,1963,58039,706,4.17,318108,9860
395040,The Bell Jar,294,2006,1963,333307,3668,4.0,531811,20262
398199,Northanger Abbey,251,2005,1818,20716,305,3.81,275871,11068
402777,"Moby-Dick, or, the Whale",654,2003,1851,198749,2299,3.49,450785,13946
403459,V for Vendetta,296,2005,1990,31479,413,4.25,242652,5000
410428,The Thirteenth Tale,406,2006,,41934,509,3.96,257333,21685
437143,A Short History of Nearly Everything,544,2004,2003,33798,407,4.2,260334,11045
437149,American Psycho,399,1991,,32319,387,3.82,215398,9177
441267,Where the Red Fern Grows,272,2000,1961,41254,482,4.07,316176,10352
444555,Siddhartha,152,1981,1922,260897,2914,4.01,517691,15195
449908,Tuck Everlasting,139,1985,1975,30329,412,3.87,208563,8567
482976,A Tree Grows in Brooklyn,496,2006,1943,304213,3347,4.26,360639,18929
482978,Me Talk Pretty One Day,272,2001,2000,19570,263,3.98,580987,16519
507157,Wuthering Heights,464,2002,1847,943265,9878,3.85,1208114,32410
509797,The Magician's Nephew,221,2005,1955,34578,478,4.03,367127,11354
509929,The Tell-Tale Heart and Other Writings,448,2004,1843,30300,442,4.16,209455,1206
525878,Breakfast of Champions,303,1999,1973,26454,332,4.07,210317,6326
528762,Demian. Die Geschichte von Emil Sinclairs Jugend,194,1996,1919,17666,212,4.12,64780,3469
545294,The Age of Innocence,293,2004,1920,21388,299,3.94,131124,6096
552886,The Angel Experiment,445,2006,2005,24496,301,4.08,198020,9098
563002,The Joy Luck Club,288,2006,1989,80601,1013,3.92,571357,8335
577537,Romeo and Juliet,368,2004,1595,751026,8055,3.74,1900199,17731
578517,Tuesdays with Morrie,210,2000,1997,132804,1520,4.1,707515,23430
587318,The Last Battle,288,2005,1956,18763,272,4.03,202404,5477
592951,Waiting for Godot,109,2011,1952,20587,276,3.82,144259,4962
603241,A Separate Peace,208,2003,1959,30541,416,3.57,181336,6869
607014,Ella Enchanted,232,1998,1997,52657,657,3.98,369401,9675
607274,The Chosen,304,1987,1966,23485,318,4.05,80108,3980
607412,Stargirl,186,2002,2000,28027,337,3.76,275092,13469
618241,Wizard's First Rule,836,2003,1994,17735,213,4.13,216348,6198
623401,Winnie-the-Pooh,145,2001,1926,207648,2448,4.34,245028,4114
653945,A Streetcar Named Desire,107,1952,1947,24682,377,3.98,248206,3679
654169,The Monster at the End of this Book,32,2004,1971,35758,440,4.44,116781,2817
664162,Alice in Wonderland,92,2004,1865,78939,1029,4.03,359725,5139
682765,The Hound of the Baskervilles,256,2001,1901,32233,450,4.11,220949,7153
685689,Holes,233,2000,1998,114493,1370,3.95,882296,18916
705209,Midnight's Children,647,1995,1981,27891,337,3.98,97627,5841
763588,Anne of Green Gables,320,2003,1908,662754,6996,4.25,651637,19104
770754,The Plague,308,1991,1947,23374,321,3.98,135939,4591
795921,How the Grinch Stole Christmas!,64,2004,1957,96324,1240,4.36,299079,2883
828697,A Fine Balance,603,2001,1995,25341,302,4.36,118284,8342
833671,Snow Falling on Cedars,460,1995,1994,19499,279,3.83,157318,4465
853510,Murder on the Orient Express,322,2004,1934,60962,797,4.17,315082,20322
863334,The Sound and the Fury,326,1990,1929,51214,642,3.86,150316,6521
888628,Neuromancer,271,1984,,21023,260,3.89,241872,8333
891694,Love You Forever,32,1995,1986,32599,413,4.35,185289,4958
892295,The Complete Sherlock Holmes,1796,1986,1927,41461,542,4.51,159656,3473
929618,Middlesex,529,2003,2002,155063,1731,4.0,557503,22334
974154,The Handmaid's Tale,344,1998,1985,383993,4229,4.1,1218744,61321
1095059,"Faust, First Part",327,1988,1808,24715,328,3.93,54567,1037
1339888,Eldest,704,2007,2005,30687,397,3.98,319130,9099
1349956,The Velveteen Rabbit,40,1987,1922,60594,812,4.29,206130,3206
1581365,The Titan's Curse,320,2007,,77431,934,4.35,607119,18447
1754286,The Boy in the Striped Pajamas,240,2006,2006,61806,770,4.13,436578,24454
1786535,The Cat in the Hat,61,1985,1957,116616,1436,4.16,375579,5346
1950540,The Martian Chronicles,182,1984,1949,27830,373,4.14,190887,6923
2188936,Nineteen Minutes,440,2007,,22531,285,4.12,285692,15286
2600408,The Complete Novels,1344,1996,1813,32160,433,4.55,27502,644
2685814,The Twilight Collection,1690,2007,,19618,250,3.79,43094,1153
2914097,Paper Towns,305,2009,2008,45707,536,3.83,805472,46778
2924362,Interview with the Vampire,342,2004,1976,200522,2296,3.99,449903,9386
3093681,Brisingr,748,2008,,29155,381,4.05,267870,8704
3168524,A Confederacy of Dunces,394,1994,1980,62160,715,3.88,215427,13933
3263868,Sophie's World,403,1995,1991,39068,472,3.92,176773,9745
3401521,The Republic,416,2003,-380,18234,269,3.93,149414,3049
3421809,Norwegian Wood,296,2000,1987,38471,444,4.03,293330,17403
3438113,Love in the Time of Cholera,348,2003,1985,103230,1229,3.91,371757,17874
3458106,The Thorn Birds,692,2002,1977,101387,1226,4.23,296126,5452
3853137,The Unbearable Lightness of Being,320,2009,1984,130986,1470,4.09,302039,13463
3940508,The Tales of Beedle the Bard,109,2008,2007,23170,329,4.08,369894,13414
4556058,The Last Olympian,381,2009,2009,104623,1201,4.51,593099,20775
4602032,Dead Until Dark,292,2001,,36604,462,3.96,478655,17769
4906099,A Thousand Splendid Suns,372,2007,2007,558656,5932,4.36,1034355,50018
4906348,Bel Canto,352,2005,2001,32984,398,3.93,225952,14032
4971790,Alice's Adventures in Wonderland &amp; Through the Looking-Glass,239,2000,1871,805594,8515,4.07,429049,9814
5025780,Beloved,324,2004,1987,61143,764,3.82,289198,10231
5043803,Twilight,501,2006,2005,1436124,14634,3.59,4525900,99080
5081331,I Know Why the Caged Bird Sings,289,1993,1969,19323,276,4.22,359070,9061
5088205,Gone with the Wind,1037,1999,1936,1068203,11009,4.29,1011838,18558
5096865,In Cold Blood,343,1994,1965,122683,1454,4.07,479526,14971
5140074,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",444,2004,2002,45193,505,4.25,142823,11372
5292465,The Other Boleyn Girl,661,2003,2001,66429,814,4.06,437492,16449
5292557,Outlander,850,2005,1991,329350,3523,4.22,738662,42842
5293561,Dragonfly in Amber,743,2001,1992,26035,327,4.32,261211,14044
5577844,Stardust,248,2006,1998,34345,442,4.08,325248,16928
5598223,Lover Awakened,448,2006,,20786,246,4.45,154152,6553
5864120,The Stand,1153,1990,1978,376245,4074,4.34,560426,17315
5948933,The Hunchback of Notre-Dame,510,2001,1831,25924,378,3.99,157256,4335
5996629,Foundation,244,2004,1951,40053,492,4.16,368464,8379
5996632,"I, Robot",224,2004,1950,18928,261,4.19,250006,5819
6066095,The Kite Runner,371,2004,2003,403761,4419,4.29,2217805,68232
6131164,Clockwork Princess,567,2013,2013,78494,880,4.58,298189,26919
6146933,Go Ask Alice,213,2006,1971,30877,414,3.76,223245,10234
6186452,Kafka on the Shore,467,2006,2002,38054,433,4.13,262744,18204
6192934,Gulliver's Travels,306,2003,1726,32908,505,3.56,214461,4979
6193937,The Scarlet Letter,279,2003,1850,126179,1570,3.39,651280,13602
6239806,Oliver Twist,608,2003,1838,75166,1015,3.86,292875,6734
